X,Y,Z,P,Xspd,Yspd,Zspd,T
-10.0,-10.0,1.6,0.14814,-8.4289,-0.50113,-0.16408,20.818
-9.8,-10.0,1.6,0.13408,-8.4895,-0.63822,-0.12074,20.813
-9.6,-10.0,1.6,0.15587,-8.7257,-0.46944,-0.12177,20.805
-9.4,-10.0,1.6,0.17886,-8.494,-0.30597,-0.19625,20.798
-9.2,-10.0,1.6,0.16567,-8.4646,-0.4965,-0.081368,20.791
-9.0,-10.0,1.6,0.17153,-8.5535,-0.5382,-0.086806,20.784
-8.8,-10.0,1.6,0.21577,-8.6774,-0.49898,-0.32365,20.78
-8.6,-10.0,1.6,0.25665,-8.5889,-0.58585,-0.29022,20.776
-8.4,-10.0,1.6,0.27105,-8.5663,-0.67389,0.060153,20.771
-8.2,-10.0,1.6,0.29983,-8.6483,-0.49729,-0.01664,20.761
-8.0,-10.0,1.6,0.35407,-8.743,-0.50109,-0.4658,20.747
-7.8,-10.0,1.6,0.41508,-8.9149,-0.50476,-0.36242,20.733
-7.6,-10.0,1.6,0.4496,-8.792,-0.32311,-0.026748,20.721
-7.4,-10.0,1.6,0.47045,-8.7071,-0.2334,-0.14668,20.711
-7.2,-10.0,1.6,0.47136,-8.602,-0.2949,-0.24701,20.701
-7.0,-10.0,1.6,0.45937,-8.7038,-0.45661,-0.072385,20.693
-6.8,-10.0,1.6,0.47697,-8.8736,-0.51303,-0.12545,20.685
-6.6,-10.0,1.6,0.52961,-8.8636,-0.5159,-0.43182,20.674
-6.4,-10.0,1.6,0.53311,-8.6266,-0.66983,-0.15348,20.663
-6.2,-10.0,1.6,0.49422,-8.8264,-0.78179,0.41352,20.65
-6.0,-10.0,1.6,0.55845,-9.1549,-0.66211,0.15587,20.635
-5.8,-10.0,1.6,0.6066,-9.0636,-0.45144,-0.65219,20.624
-5.6,-10.0,1.6,0.40125,-8.7717,-0.44164,-0.30053,20.615
-5.4,-10.0,1.6,-0.026755,-9.0105,-0.73146,0.74196,20.607
-5.2,-10.0,1.6,0.088642,-9.245,-0.54209,0.26473,20.595
-5.0,-10.0,1.6,0.45871,-8.7163,-0.43808,-0.72598,20.585
-4.8,-10.0,1.6,0.4858,-8.9315,-0.66808,-0.33017,20.577
-4.6,-10.0,1.6,0.53292,-9.3825,-0.41923,0.42087,20.564
-4.4,-10.0,1.6,0.25502,-9.0375,-0.3309,0.025172,20.556
-4.2,-10.0,1.6,-2.1102,-8.7947,-0.36137,-0.43159,20.548
-4.0,-10.0,1.6,-2.4077,-8.9066,-0.28035,0.19852,20.537
-3.8,-10.0,1.6,-0.26352,-9.0564,-0.59642,0.45693,20.529
-3.6,-10.0,1.6,0.20931,-9.1257,-0.73383,-0.39705,20.518
-3.4,-10.0,1.6,-0.088203,-8.8597,-0.72806,-0.42692,20.508
-3.2,-10.0,1.6,-2.6025,-9.1409,-0.58463,0.55211,20.497
-3.0,-10.0,1.6,-2.8102,-9.1281,-0.41575,0.55811,20.484
-2.8,-10.0,1.6,-0.9253,-8.9784,-0.63673,-0.3997,20.475
-2.6,-10.0,1.6,-3.2666,-9.0692,-0.53358,-0.38799,20.469
-2.4,-10.0,1.6,-6.0069,-9.0137,-0.31182,0.41831,20.46
-2.2,-10.0,1.6,-4.6546,-8.9561,-0.62033,0.43797,20.45
